Code,Title,Industry,Vertical,Canton,Spin-offs,City,Year,Highlights,Gender CEO,OOB,Funded,Comment
CHE-207.222.614,Neuronomics AG,ICT (fintech),,Zug,,,2015.0,,Male,0.0,0.0,
CHE-274.335.581,Razz Finanzz AG (Brighty),ICT (fintech),,Zug,,Baar,2021.0,,Male,0.0,0.0,
CHE-295.199.473,Terensis GmbH,ICT,,Zürich,ETH,Winterthur,2024.0,,Male,0.0,1.0,
CHE-207.939.735,Holyheld Labs AG,ICT (fintech),,ZG,,,2022.0,,Male,0.0,0.0,
CHE-205.219.127,Waterfall DAO,ICT (fintech),,ZG,,,2024.0,,,0.0,0.0,
CHE-492.583.557,Citus AG,medtech,,Zürich,ETH,Dübendorf,2023.0,,Female,0.0,1.0,
CHE-492.106.714,RA2 TECH SA (SMARDEX),ICT (fintech),,Vaud,,Montreux,2019.0,,Male,0.0,0.0,
CHE-304.123.040,vertX IQ AG,ICT (fintech),,Zug,,Zug,2020.0,,Male,0.0,0.0,
CHE-370.825.326,YowoY AG,consumer products,,Schwyz,,,2013.0,,Male,1.0,0.0,
CHE-440.087.328,Tagxy Concepts AG,ICT,,Basel-Stadt,,,2012.0,,,1.0,0.0,
CHE-317.061.098,iPILOT AG,ICT,,Zürich,,,2012.0,,,1.0,0.0,
CHE-237.515.096,Shared Electric GmbH,ICT,,Zürich,,,2014.0,,,1.0,0.0,
CHE-134.902.102,OnFinTur GmbH,ICT (fintech),,BS,,,2014.0,,,1.0,0.0,
CHE-109.655.857,Laserix,micro / nano,,Neuchâtel,,,2015.0,,,1.0,0.0,
CHE-307.401.057,W3lcome (Cotival Solutions GmbH),ICT,,Bern,,,2016.0,,Male,1.0,0.0,
CHE-290.822.141,Lernwolke GmbH,ICT,,Thurgau,,,2016.0,,,0.0,0.0,
CHE-112.005.418,MEDIC-MICRO Sàrl,medtech,,Vaud,,,2004.0,,,1.0,0.0,
